,age,sex,decile_score,priors_count,race,days_in_jail,c_days_from_compas,is_violent_recid,v_decile_score,is_recid
219,50,1,1,0,Other,0.0,1.0,0,2,1
220,50,1,1,0,Other,0.0,1.0,0,2,1
221,25,1,10,14,African-American,7.0,1.0,1,10,1
222,25,1,10,14,African-American,7.0,1.0,1,10,1
223,25,1,10,14,African-American,7.0,1.0,1,10,1
224,25,1,10,14,African-American,7.0,1.0,1,10,1
225,25,1,10,14,African-American,7.0,1.0,1,10,1
226,44,0,1,0,Caucasian,0.0,1.0,0,1,-1
227,20,1,5,0,Other,1.0,1.0,1,8,1
228,22,1,9,2,African-American,30.0,0.0,0,10,1
229,22,1,9,2,African-American,30.0,0.0,0,10,1
230,22,1,9,2,African-American,30.0,0.0,0,10,1
231,23,1,7,2,African-American,0.0,192.0,0,8,1
232,23,1,7,2,African-American,0.0,192.0,0,8,1
233,54,1,6,6,African-American,105.0,864.0,0,5,0
234,54,1,6,6,African-American,105.0,864.0,0,5,0
235,40,1,5,4,Caucasian,0.0,1.0,0,4,0
236,40,1,5,4,Caucasian,0.0,1.0,0,4,0
237,25,1,7,10,African-American,181.0,138.0,0,6,0
238,25,1,7,10,African-American,181.0,138.0,0,6,0
239,35,0,2,1,African-American,0.0,1.0,0,1,0
240,36,1,7,9,African-American,3.0,1.0,0,6,1
241,36,1,7,9,African-American,3.0,1.0,0,6,1
242,26,1,8,7,Caucasian,0.0,1.0,0,4,1
243,26,1,8,7,Caucasian,0.0,1.0,0,4,1
244,26,1,8,7,Caucasian,0.0,1.0,0,4,1
245,21,1,6,1,Other,3.0,1.0,0,6,1
246,21,1,6,1,Other,3.0,1.0,0,6,1
247,21,1,6,1,Other,3.0,1.0,0,6,1
248,21,1,6,1,Other,3.0,1.0,0,6,1
249,21,1,6,1,Other,3.0,1.0,0,6,1
250,28,0,3,0,African-American,0.0,1.0,0,3,-1
251,30,1,5,6,Caucasian,10.0,1.0,0,4,0
252,25,1,8,9,Caucasian,0.0,1.0,1,9,1
253,25,1,8,9,Caucasian,0.0,1.0,1,9,1
254,71,1,7,12,African-American,0.0,804.0,0,3,0
255,34,1,3,3,African-American,16.0,21.0,0,2,0
256,20,0,7,0,Caucasian,0.0,1.0,0,8,0
257,39,1,1,2,Caucasian,1.0,3.0,0,1,1
258,39,1,1,2,Caucasian,1.0,3.0,0,1,1
259,39,1,1,2,Caucasian,1.0,3.0,0,1,1
260,39,1,1,2,Caucasian,1.0,3.0,0,1,1
261,39,1,1,2,Caucasian,1.0,3.0,0,1,1
262,39,1,1,2,Caucasian,1.0,3.0,0,1,1
263,39,1,1,2,Caucasian,1.0,3.0,0,1,1
264,39,1,1,2,Caucasian,1.0,3.0,0,1,1
265,66,1,1,3,Caucasian,30.0,64.0,0,1,0
266,54,0,1,0,Caucasian,0.0,1.0,0,1,0
267,28,1,4,0,African-American,0.0,1.0,0,5,-1
268,44,0,1,0,Hispanic,1.0,2.0,0,1,0
269,19,1,4,1,African-American,9.0,10.0,1,7,1
270,24,1,2,1,African-American,137.0,137.0,0,3,0
271,24,1,2,1,African-American,137.0,137.0,0,3,0
272,30,1,2,1,African-American,0.0,1.0,0,2,0
273,39,0,1,0,Caucasian,1.0,1.0,1,1,1
274,32,0,3,8,African-American,0.0,1.0,0,1,0
275,24,1,6,8,Caucasian,12.0,0.0,0,6,1
276,24,1,6,8,Caucasian,12.0,0.0,0,6,1
277,24,1,6,8,Caucasian,12.0,0.0,0,6,1
278,24,1,6,8,Caucasian,12.0,0.0,0,6,1
279,24,1,6,8,Caucasian,12.0,0.0,0,6,1
280,30,1,4,0,Caucasian,5.0,1.0,0,2,0
281,30,1,4,0,Caucasian,5.0,1.0,0,2,0
282,30,1,4,0,Caucasian,5.0,1.0,0,2,0
283,31,1,5,0,Caucasian,38.0,1.0,0,2,0
284,39,0,4,1,Caucasian,106.0,1.0,0,3,0
285,39,0,4,1,Caucasian,106.0,1.0,0,3,0
286,39,0,4,1,Caucasian,106.0,1.0,0,3,0
287,39,0,4,1,Caucasian,106.0,1.0,0,3,0
288,39,0,4,1,Caucasian,106.0,1.0,0,3,0
289,59,1,9,14,African-American,109.0,265.0,1,4,1
290,35,1,6,7,Caucasian,0.0,0.0,0,3,0
291,35,1,6,7,Caucasian,0.0,0.0,0,3,0
292,24,0,3,0,Other,16.0,1.0,0,4,0
293,43,1,1,1,Caucasian,1.0,30.0,0,1,0
294,21,1,9,2,African-American,1.0,1.0,0,6,0
295,21,1,9,2,African-American,1.0,1.0,0,6,0
296,21,1,9,2,African-American,1.0,1.0,0,6,0
297,21,1,9,2,African-American,1.0,1.0,0,6,0
298,21,1,9,2,African-American,1.0,1.0,0,6,0
299,21,1,9,2,African-American,1.0,1.0,0,6,0
300,21,0,4,0,African-American,3.0,1.0,0,4,0
301,21,1,9,3,African-American,6.0,1.0,0,6,1
302,21,1,9,3,African-American,6.0,1.0,0,6,1
303,21,1,9,3,African-American,6.0,1.0,0,6,1
304,21,1,9,3,African-American,6.0,1.0,0,6,1
305,21,1,9,3,African-American,6.0,1.0,0,6,1
306,27,1,7,0,African-American,0.0,1.0,0,3,0
307,20,1,8,0,African-American,0.0,0.0,0,6,0
308,20,1,8,0,African-American,0.0,0.0,0,6,0
309,20,1,8,0,African-American,0.0,0.0,0,6,0
310,20,1,8,0,African-American,0.0,0.0,0,6,0
311,20,1,8,0,African-American,0.0,0.0,0,6,0
312,20,1,8,0,African-American,0.0,0.0,0,6,0
313,38,1,4,5,Caucasian,2.0,1.0,0,3,1
314,38,1,4,5,Caucasian,2.0,1.0,0,3,1
315,27,1,9,3,African-American,207.0,2.0,0,4,0
316,27,1,9,3,African-American,207.0,2.0,0,4,0
317,34,1,5,0,Caucasian,14.0,0.0,0,5,0
318,34,1,5,0,Caucasian,14.0,0.0,0,5,0
319,30,1,3,3,African-American,1.0,0.0,0,3,0
320,33,1,5,5,African-American,0.0,1.0,0,2,1
321,37,1,2,3,African-American,1.0,0.0,0,1,0
322,37,1,2,3,African-American,1.0,0.0,0,1,0
323,42,1,2,1,Caucasian,0.0,1.0,0,2,1
324,42,1,2,1,Caucasian,0.0,1.0,0,2,1
325,42,1,2,1,Caucasian,0.0,1.0,0,2,1
326,41,1,9,10,African-American,176.0,0.0,0,7,1
327,41,1,9,10,African-American,176.0,0.0,0,7,1
328,22,1,4,0,African-American,0.0,1.0,0,7,1
329,22,1,4,0,African-American,0.0,1.0,0,7,1
330,33,1,8,28,African-American,1.0,1.0,0,5,1
331,33,1,8,28,African-American,1.0,1.0,0,5,1
332,33,1,8,28,African-American,1.0,1.0,0,5,1
333,44,1,1,0,Caucasian,1.0,3.0,0,1,0
334,31,1,7,1,African-American,1.0,1.0,0,8,0
335,26,1,8,9,African-American,0.0,0.0,0,7,0
336,26,1,8,9,African-American,0.0,0.0,0,7,0
337,30,0,2,1,Other,1.0,1.0,0,2,0
338,30,0,2,1,Other,1.0,1.0,0,2,0
339,30,0,2,1,Other,1.0,1.0,0,2,0
340,31,1,10,13,Caucasian,471.0,0.0,1,7,1
341,27,1,9,3,African-American,0.0,1.0,0,4,1
342,31,0,2,1,Caucasian,1.0,1.0,0,2,0
343,31,0,2,1,Caucasian,1.0,1.0,0,2,0
344,47,1,1,2,Hispanic,0.0,1.0,0,1,0
345,56,1,9,8,African-American,79.0,79.0,0,3,0
346,56,1,9,8,African-American,79.0,79.0,0,3,0
347,33,1,8,2,Asian,13.0,132.0,0,8,0
348,33,1,8,2,Asian,13.0,132.0,0,8,0
349,33,1,8,2,Asian,13.0,132.0,0,8,0
350,52,1,9,3,Caucasian,0.0,2.0,0,6,0
351,33,1,10,19,African-American,0.0,1.0,0,7,1
352,33,1,10,19,African-American,0.0,1.0,0,7,1
353,61,1,4,0,Caucasian,15.0,1.0,0,1,0
354,64,0,1,2,Caucasian,1.0,48.0,0,1,0
355,22,1,6,4,Caucasian,14.0,36.0,0,8,1
356,22,1,6,4,Caucasian,14.0,36.0,0,8,1
357,42,1,3,6,Caucasian,1.0,5.0,0,1,0
358,42,1,3,6,Caucasian,1.0,5.0,0,1,0
359,42,1,3,6,Caucasian,1.0,5.0,0,1,0
360,25,0,4,2,Caucasian,3.0,1.0,0,5,0
361,25,0,4,2,Caucasian,3.0,1.0,0,5,0
362,27,1,1,0,Caucasian,1.0,1.0,0,2,0
363,30,1,2,1,Caucasian,3.0,20.0,0,2,0
364,23,1,2,0,African-American,0.0,1.0,0,3,-1
365,28,1,1,2,Caucasian,0.0,161.0,0,2,0
366,37,0,2,2,Other,1.0,222.0,0,1,0
367,21,1,5,1,Caucasian,1.0,1.0,0,6,0
368,28,1,2,0,Caucasian,0.0,1.0,0,3,1
369,28,1,2,0,Caucasian,0.0,1.0,0,3,1
370,28,1,2,0,Caucasian,0.0,1.0,0,3,1
371,24,0,2,0,African-American,2.0,1.0,0,3,0
372,37,1,8,13,African-American,29.0,5.0,0,7,0
373,37,1,8,13,African-American,29.0,5.0,0,7,0
374,22,1,9,0,African-American,7.0,1.0,0,8,0
375,22,1,9,0,African-American,7.0,1.0,0,8,0
376,29,0,4,10,Caucasian,7.0,1.0,0,2,1
377,29,0,4,10,Caucasian,7.0,1.0,0,2,1
378,29,0,4,10,Caucasian,7.0,1.0,0,2,1
379,29,0,4,10,Caucasian,7.0,1.0,0,2,1
380,25,0,3,0,Caucasian,0.0,1.0,0,3,0
381,25,0,3,0,Caucasian,0.0,1.0,0,3,0
382,44,1,2,2,Caucasian,1.0,1.0,0,1,1
383,30,0,5,4,Hispanic,0.0,36.0,1,5,1
384,32,1,7,3,African-American,8.0,1.0,0,3,1
385,32,1,7,3,African-American,8.0,1.0,0,3,1
386,32,1,7,3,African-American,8.0,1.0,0,3,1
387,53,1,4,1,Hispanic,1.0,1.0,0,1,0
388,34,1,2,1,Other,2.0,0.0,0,1,0
389,31,1,3,2,Caucasian,15.0,16.0,0,3,1
390,27,1,10,5,African-American,6.0,78.0,0,10,0
391,27,1,10,5,African-American,6.0,78.0,0,10,0
392,31,1,2,1,African-American,1.0,1.0,0,3,1
393,59,1,2,1,Caucasian,0.0,1.0,0,1,1
394,59,1,2,1,Caucasian,0.0,1.0,0,1,1
395,59,1,2,1,Caucasian,0.0,1.0,0,1,1
396,28,1,10,15,African-American,40.0,1.0,0,8,0
397,45,0,4,4,Caucasian,0.0,375.0,0,3,0
398,23,1,3,0,Caucasian,0.0,1.0,0,3,0
399,20,0,10,1,African-American,2.0,0.0,0,10,0
400,20,0,10,1,African-American,2.0,0.0,0,10,0
401,20,0,10,1,African-American,2.0,0.0,0,10,0
402,42,1,1,2,African-American,10.0,41.0,0,1,0
403,43,0,1,0,Caucasian,0.0,0.0,0,1,0
404,38,1,8,9,African-American,13.0,1.0,0,4,1
405,38,1,8,9,African-American,13.0,1.0,0,4,1
406,38,1,8,9,African-American,13.0,1.0,0,4,1
407,38,1,8,9,African-American,13.0,1.0,0,4,1
408,38,1,8,9,African-American,13.0,1.0,0,4,1
409,32,1,6,11,African-American,1.0,2.0,1,5,1
410,32,1,6,11,African-American,1.0,2.0,1,5,1
411,33,1,5,8,African-American,0.0,1.0,1,2,1
412,55,1,8,4,African-American,16.0,1480.0,0,3,0
413,55,1,8,4,African-American,16.0,1480.0,0,3,0
414,55,1,8,4,African-American,16.0,1480.0,0,3,0
415,31,0,3,0,African-American,1.0,1.0,0,2,1
416,31,0,3,0,African-American,1.0,1.0,0,2,1
417,31,0,3,0,African-American,1.0,1.0,0,2,1
418,33,0,9,7,African-American,26.0,1.0,0,9,1
419,33,0,9,7,African-American,26.0,1.0,0,9,1
420,33,0,9,7,African-American,26.0,1.0,0,9,1
421,27,1,9,2,African-American,1.0,1.0,0,8,1
422,27,1,9,2,African-American,1.0,1.0,0,8,1
423,27,1,9,2,African-American,1.0,1.0,0,8,1
424,27,1,9,2,African-American,1.0,1.0,0,8,1
425,52,1,1,0,African-American,1.0,1.0,0,1,0
426,20,0,6,0,African-American,0.0,1.0,0,8,0
427,26,0,6,0,Caucasian,0.0,2.0,0,3,0
428,25,1,10,4,African-American,262.0,1.0,0,10,0
429,61,0,1,1,African-American,0.0,1.0,0,1,1
430,52,1,7,13,Other,1.0,1.0,0,6,1
431,52,1,7,13,Other,1.0,1.0,0,6,1
432,52,1,7,13,Other,1.0,1.0,0,6,1
433,52,1,7,13,Other,1.0,1.0,0,6,1
434,52,1,7,13,Other,1.0,1.0,0,6,1
435,52,1,7,13,Other,1.0,1.0,0,6,1
436,52,1,7,13,Other,1.0,1.0,0,6,1
437,52,1,7,13,Other,1.0,1.0,0,6,1
438,52,1,7,13,Other,1.0,1.0,0,6,1
439,52,1,7,13,Other,1.0,1.0,0,6,1
440,52,1,7,13,Other,1.0,1.0,0,6,1
441,63,1,1,1,Hispanic,14.0,26.0,0,1,0
442,40,1,2,0,Hispanic,0.0,1.0,0,1,-1
443,32,0,10,4,African-American,6.0,7.0,1,9,1
444,29,1,4,1,Hispanic,0.0,1.0,0,4,0
445,46,0,2,1,Other,0.0,72.0,0,1,0
446,26,0,4,2,African-American,0.0,1.0,0,4,1
447,55,1,1,3,African-American,1.0,52.0,0,1,0
448,39,1,4,1,Caucasian,3.0,1672.0,0,4,0
449,30,0,7,3,Caucasian,530.0,1.0,0,4,1
450,30,0,7,3,Caucasian,530.0,1.0,0,4,1
451,30,0,7,3,Caucasian,530.0,1.0,0,4,1
452,30,1,7,1,African-American,70.0,1.0,0,8,0
453,30,1,7,1,African-American,70.0,1.0,0,8,0
454,48,1,2,2,Caucasian,0.0,1.0,0,1,0
455,33,1,1,0,Caucasian,1.0,1.0,0,1,0
456,22,1,2,1,African-American,0.0,1.0,0,4,0
457,22,1,2,1,African-American,0.0,1.0,0,4,0
458,46,1,1,6,Caucasian,22.0,31.0,0,1,1
459,46,1,1,6,Caucasian,22.0,31.0,0,1,1
460,41,1,10,5,Caucasian,95.0,1.0,0,4,0
461,49,0,6,6,Caucasian,5.0,56.0,0,2,0
462,31,1,5,0,Caucasian,2.0,1.0,0,4,0
463,31,1,5,0,Caucasian,2.0,1.0,0,4,0
464,31,1,1,0,African-American,0.0,1.0,0,2,0
465,25,1,2,1,African-American,1.0,1.0,0,3,1
466,25,1,2,1,African-American,1.0,1.0,0,3,1
467,31,1,3,3,African-American,19.0,19.0,0,2,0
468,21,0,6,0,African-American,3.0,4.0,0,6,0
469,23,1,3,0,Hispanic,0.0,2.0,0,5,0
470,32,0,7,5,African-American,1.0,1.0,0,3,0
471,52,1,1,2,Hispanic,3.0,1.0,0,1,0
472,52,1,1,2,Hispanic,3.0,1.0,0,1,0
473,62,1,4,8,African-American,15.0,1.0,0,1,0
474,30,1,6,2,African-American,0.0,1.0,0,4,0
475,30,1,6,2,African-American,0.0,1.0,0,4,0
476,37,0,10,6,Caucasian,105.0,111.0,0,4,0
477,37,0,10,6,Caucasian,105.0,111.0,0,4,0
478,55,1,1,1,Caucasian,18.0,45.0,0,1,0
479,31,1,9,8,Hispanic,117.0,61.0,0,7,1
480,31,1,9,8,Hispanic,117.0,61.0,0,7,1
481,31,1,9,8,Hispanic,117.0,61.0,0,7,1
